date,close,eps,revenue,symbol
9/26/2019 16:00,19.98,2.83,759.9,CSIQ
9/27/2019 16:00,19.43,2.83,759.9,CSIQ
9/30/2019 16:00,18.88,2.83,759.9,CSIQ
10/1/2019 16:00,18.25,2.83,919.7,CSIQ
10/2/2019 16:00,17.71,2.83,919.7,CSIQ
10/3/2019 16:00,18.56,2.83,919.7,CSIQ
10/4/2019 16:00,18.68,2.83,919.7,CSIQ
10/7/2019 16:00,18.14,2.83,919.7,CSIQ
10/8/2019 16:00,18.03,2.83,919.7,CSIQ
10/9/2019 16:00,18.02,2.83,919.7,CSIQ
10/10/2019 16:00,18.23,2.83,919.7,CSIQ
10/11/2019 16:00,18.71,2.83,919.7,CSIQ
10/14/2019 16:00,18.79,2.83,919.7,CSIQ
10/15/2019 16:00,18.68,2.83,919.7,CSIQ
10/16/2019 16:00,18.18,2.83,919.7,CSIQ
10/17/2019 16:00,18.26,2.83,919.7,CSIQ
10/18/2019 16:00,18.11,2.83,919.7,CSIQ
10/21/2019 16:00,18.53,2.83,919.7,CSIQ
10/22/2019 16:00,17.91,2.83,919.7,CSIQ
10/23/2019 16:00,17.84,2.83,919.7,CSIQ
10/24/2019 16:00,18.25,2.83,919.7,CSIQ
10/25/2019 16:00,17.86,2.83,919.7,CSIQ
10/28/2019 16:00,17.68,2.83,919.7,CSIQ
10/29/2019 16:00,17.7,2.83,919.7,CSIQ
10/30/2019 16:00,17.25,2.83,919.7,CSIQ
10/31/2019 16:00,17.07,2.83,919.7,CSIQ
11/1/2019 16:00,17.48,2.83,919.7,CSIQ
11/4/2019 16:00,17.16,2.83,919.7,CSIQ
11/5/2019 16:00,17.35,2.83,919.7,CSIQ
11/6/2019 16:00,16.97,2.83,919.7,CSIQ
11/7/2019 16:00,17.12,2.83,919.7,CSIQ
11/8/2019 16:00,16.9,2.83,919.7,CSIQ
11/11/2019 16:00,16.86,2.83,919.7,CSIQ
11/12/2019 16:00,17.51,2.83,919.7,CSIQ
11/13/2019 16:00,14.66,2.83,919.7,CSIQ
11/14/2019 16:00,15.07,2.83,919.7,CSIQ
11/15/2019 16:00,14.95,2.83,919.7,CSIQ
11/18/2019 16:00,14.97,2.83,919.7,CSIQ
11/19/2019 16:00,15.1,2.83,919.7,CSIQ
11/20/2019 16:00,15.04,2.83,919.7,CSIQ
11/21/2019 16:00,14.78,2.83,919.7,CSIQ
11/22/2019 16:00,14.92,2.83,919.7,CSIQ
11/25/2019 16:00,15.63,2.83,919.7,CSIQ
11/26/2019 16:00,15.54,2.83,919.7,CSIQ
11/27/2019 16:00,16.19,2.83,919.7,CSIQ
11/29/2019 13:00,16.35,2.83,919.7,CSIQ
12/2/2019 16:00,16.41,2.83,919.7,CSIQ
